LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
893,2164,123437,Primary,13,25,4,10.2,9.9,3.5,26.5,"£39,933"
893,2178,144202,Primary,19,34,15,15.9,12.9,5.4,24.3,"£38,742"
893,2179,123447,Primary,13,22,2,11.2,13.4,1.8,18.3,"£37,996"
893,2180,144203,Primary,16,24,7,14.8,9.1,4.6,21.3,"£45,098"
893,2194,123452,Primary,14,25,3,12.6,12.5,2.8,22.3,"£38,124"
893,2195,145221,Primary,13,30,5,12.2,12.4,4,26.6,"£41,139"
893,3001,123457,Primary,4,3,1,3.2,1.5,1,11.4,"£39,677"
893,3003,123458,Primary,10,10,2,7.8,4.3,1.4,24.4,"£39,553"
893,3010,123460,Primary,5,3,1,3.6,1.3,0.8,14.2,"£37,330"
893,3012,123461,Primary,9,11,5,7.3,6.8,2.4,18.9,"£36,295"
893,3015,123463,Primary,3,3,2,3,2.2,0.9,22.3,"£38,605"
893,3018,144201,Primary,7,9,1,6.3,5.6,1,22.1,"£37,176"
893,3022,123467,Primary,4,6,1,2.6,2.5,1,18.5,"£33,064"
893,3024,123468,Primary,17,22,3,12.6,12.8,2.6,21.7,"£38,987"
893,3026,123469,Primary,4,13,1,3.4,3.7,0.7,25.4,"£35,621"
893,3027,123470,Primary,3,7,2,3,2.8,1.4,20.3,"£33,846"
893,3030,123471,Primary,4,7,2,3.4,3.4,1,25,"£39,830"
893,3031,123472,Primary,6,8,4,5.3,4.1,1.3,20.1,"£39,585"
893,3041,123475,Primary,3,6,3,2.2,2.7,0.5,20,"£42,276"
893,3044,123477,Primary,4,9,1,2.8,2.3,1,17.9,"£36,898"
893,3046,123478,Primary,6,7,1,4.2,3.2,0.8,20,"£37,624"
893,3057,123480,Primary,2,8,2,2,2.7,1,15.5,SUPP
893,3058,123481,Primary,4,5,1,3.2,3.3,1,21.9,"£36,234"
893,3068,123482,Primary,7,10,2,4.7,3.3,1.4,22.6,"£39,771"
893,3070,123483,Primary,6,7,1,5,4,1,21.3,"£40,516"
893,3074,123484,Primary,10,17,3,6.1,9.4,1.9,25.6,"£32,869"
893,3077,123485,Primary,5,6,2,5,3.3,1,17.6,"£32,647"
893,3079,123487,Primary,4,11,1,4,6,0.9,29.5,"£33,301"
893,3081,123488,Primary,3,3,1,3,1.5,0.8,7.7,SUPP
893,3083,123490,Primary,7,13,2,6,8.7,1,24.6,"£40,998"
893,3084,123491,Primary,6,7,2,5.5,2.8,1.7,15.9,"£30,989"
893,3087,123493,Primary,9,11,3,8.2,7.4,2.6,27.2,"£37,738"
893,3089,143323,Primary,9,17,1,7.7,8.6,0.7,22.8,"£38,314"
893,3090,123495,Primary,6,19,2,5.4,4.2,1.1,24.4,"£36,302"
893,3093,123497,Primary,3,6,1,2.8,2.3,1,16.4,"£40,694"
893,3094,123498,Primary,7,13,3,5,4.8,2,20.6,"£39,848"
893,3097,123499,Primary,6,7,1,4.3,2.7,0.8,20,"£37,159"
893,3100,123500,Primary,12,14,2,11.2,10.3,2,27.2,"£39,375"
893,3103,123502,Primary,24,25,4,17.6,11,2.1,23.9,"£40,236"
893,3104,123503,Primary,15,17,4,14.4,11.3,1.5,22.2,"£40,226"
893,3108,142312,Primary,8,23,3,5.3,10.2,1.1,23.2,"£35,391"
893,3112,123507,Primary,9,6,3,6,2.5,1.2,22.8,"£40,340"
893,3113,123508,Primary,5,7,2,4.6,2.6,1.8,26.2,"£42,484"
893,3115,123510,Primary,4,3,2,3,1.3,0.9,27,"£39,027"
893,3116,145790,Primary,19,38,8,18.4,15,6.3,22.8,"£42,400"
893,3117,123512,Primary,10,15,3,7.4,7.7,1.4,19.3,"£40,326"
893,3119,123513,Primary,3,5,3,2,2.9,1.4,25.5,"£39,063"
893,3120,123514,Primary,17,15,6,15.5,12.4,4.8,21,"£36,925"
893,3121,123515,Primary,17,26,5,16.6,15.8,3.8,19.4,"£38,216"
893,3122,143325,Primary,8,10,1,5.1,4.2,1,22.4,"£40,985"
893,3123,123517,Primary,4,3,1,3.1,1.2,0.6,18.2,"£38,527"
893,3126,123518,Primary,4,4,0,4,1.9,0,30.1,"£43,231"
893,3127,123519,Primary,3,3,0,2.1,1.4,0,17.2,"£35,917"
